binary_splits,confidence_factor,config_laplace,depth,leaves,min_num_obj,nodes,num_folds,precision,reduced_error_pruning,save_instance_data,subtree_raising,tree_size,unpruned
True,,True,9,16.0,3,11,7.0,67.3171,True,False,False,31.0,False
True,0.6,False,8,18.0,5,11,,65.3659,False,True,True,35.0,False
True,,False,7,10.0,7,4,4.0,65.8537,True,True,True,19.0,False
False,,True,3,26.0,8,3,7.0,62.439,True,True,False,31.0,False
True,0.9,True,12,39.0,1,30,,81.9512,False,True,True,77.0,False
True,0.9,False,7,13.0,8,7,,69.7561,False,True,False,25.0,False
False,0.6,False,5,31.0,8,5,,72.1951,False,False,True,41.0,False
True,,True,8,15.0,7,9,,67.3171,False,True,False,29.0,True
True,0.5,True,12,37.0,1,28,,81.4634,False,True,False,73.0,False
False,,False,8,36.0,4,8,6.0,70.2439,True,False,True,46.0,False
True,0.1,True,8,18.0,5,11,,67.3171,False,True,False,35.0,False
False,,True,4,28.0,6,4,8.0,69.2683,True,True,False,35.0,False
False,0.9,True,5,31.0,8,5,,72.1951,False,True,False,41.0,False
False,0.7,False,6,62.0,5,9,,72.1951,False,False,False,80.0,False
True,0.5,False,8,15.0,7,9,,69.2683,False,False,False,29.0,False
True,,False,10,13.0,3,8,8.0,67.3171,True,False,True,25.0,False
True,0.7,False,8,18.0,5,11,,65.3659,False,False,True,35.0,False
True,,False,7,13.0,4,8,2.0,60.4878,True,True,False,25.0,False
False,0.5,False,5,31.0,9,5,,70.7317,False,True,False,41.0,False
True,0.6,True,6,12.0,9,6,,69.2683,False,True,True,23.0,False
False,,True,3,27.0,5,4,3.0,65.3659,True,False,False,33.0,False
True,,False,8,18.0,5,11,,65.3659,False,True,False,35.0,True
True,,False,5,9.0,8,4,7.0,57.0732,True,True,False,17.0,False
False,,False,7,51.0,2,5,9.0,69.2683,True,True,False,61.0,False
True,0.3,True,8,15.0,7,9,,69.2683,False,False,False,29.0,False
True,0.3,True,7,14.0,6,9,,65.8537,False,False,False,27.0,False
True,,False,12,21.0,2,14,9.0,68.2927,True,True,True,41.0,False
False,0.3,False,6,40.0,4,8,,70.7317,False,False,True,56.0,False
True,0.4,True,8,18.0,4,13,,69.7561,False,False,False,35.0,False
True,0.2,True,6,11.0,9,5,,70.7317,False,True,False,21.0,False
False,,True,6,74.0,2,6,2.0,69.7561,True,True,True,87.0,False
False,0.6,True,7,55.0,3,10,,77.0732,False,True,False,76.0,False
True,0.1,True,11,35.0,1,26,,80.9756,False,True,False,69.0,False
False,,False,7,36.0,3,6,5.0,70.2439,True,True,False,51.0,False
False,0.4,True,5,31.0,8,5,,70.7317,False,True,False,41.0,False
True,,True,4,7.0,8,4,2.0,60.4878,True,False,True,13.0,False
False,0.3,True,7,45.0,3,9,,76.0976,False,True,True,64.0,False
True,,True,12,28.0,1,22,4.0,76.0976,True,False,False,55.0,False
True,0.3,False,9,23.0,3,17,,74.1463,False,True,True,45.0,False
False,,True,3,27.0,9,3,8.0,66.8293,True,False,False,33.0,False
False,0.4,True,7,45.0,3,9,,76.0976,False,True,False,64.0,False
True,,True,10,13.0,5,8,4.0,67.3171,True,False,True,25.0,False
True,,True,8,11.0,1,7,8.0,69.2683,True,False,True,21.0,False
False,0.4,True,6,34.0,7,7,,71.7073,False,True,True,47.0,False
True,0.5,True,8,18.0,5,11,,66.3415,False,True,False,35.0,False
False,0.2,True,6,34.0,6,7,,70.7317,False,True,False,47.0,False
True,0.5,True,10,28.0,2,21,,79.0244,False,False,True,55.0,False
False,,True,4,26.0,9,3,6.0,61.9512,True,True,False,31.0,False
False,0.2,False,6,39.0,4,8,,72.1951,False,True,True,54.0,False
False,0.7,False,7,98.0,1,18,,84.3902,False,False,False,128.0,False
True,,False,10,13.0,5,8,4.0,67.3171,True,True,False,25.0,False
True,,False,4,7.0,9,4,2.0,58.0488,True,False,False,13.0,False
True,,True,15,23.0,3,19,6.0,70.7317,True,True,False,45.0,False
False,0.6,True,7,65.0,2,12,,84.3902,False,False,True,88.0,False
False,,False,3,7.0,9,3,2.0,60.0,True,True,False,13.0,False
True,0.3,True,8,18.0,4,13,,69.7561,False,True,False,35.0,False
False,,True,4,28.0,6,4,8.0,69.2683,True,True,True,35.0,False
False,,True,3,27.0,6,4,3.0,62.9268,True,False,True,33.0,False
False,,False,3,25.0,4,3,7.0,66.8293,True,False,False,29.0,False
False,0.3,True,5,30.0,8,4,,71.2195,False,False,False,39.0,False
False,0.5,False,6,34.0,7,7,,71.7073,False,False,True,47.0,False
False,0.6,False,6,34.0,7,7,,71.2195,False,False,True,47.0,False
False,,True,6,31.0,2,4,8.0,73.6585,True,False,True,41.0,False
False,,False,4,28.0,5,4,8.0,70.7317,True,True,False,35.0,False
True,0.5,False,9,23.0,3,17,,74.1463,False,True,True,45.0,False
True,0.8,True,7,13.0,8,7,,69.7561,False,True,False,25.0,False
False,,True,4,29.0,6,4,4.0,65.3659,True,True,True,37.0,False
True,0.9,True,7,14.0,6,9,,66.8293,False,False,True,27.0,False
True,,False,13,23.0,1,16,9.0,66.3415,True,True,True,45.0,False
True,,True,16,33.0,1,26,3.0,67.3171,True,True,True,65.0,False
False,0.2,False,6,39.0,4,8,,72.1951,False,False,True,54.0,False
True,0.7,True,7,14.0,6,9,,66.8293,False,True,True,27.0,False
False,,False,6,34.0,1,4,8.0,75.6098,True,False,True,44.0,False
False,,True,7,36.0,3,6,5.0,70.2439,True,False,True,51.0,False
False,0.9,True,6,62.0,5,9,,71.2195,False,True,True,80.0,False
True,,False,7,10.0,6,5,8.0,61.9512,True,True,False,19.0,False
True,,False,8,15.0,7,9,,67.3171,False,True,False,29.0,True
False,,True,3,31.0,7,3,3.0,56.0976,True,False,True,36.0,False
False,,False,3,26.0,3,3,4.0,69.2683,True,False,True,31.0,False
True,0.8,False,7,14.0,6,9,,66.8293,False,False,True,27.0,False
False,0.9,True,5,31.0,9,5,,70.7317,False,False,True,41.0,False
False,,True,3,28.0,1,5,4.0,76.0976,True,True,True,35.0,False
False,,False,3,7.0,9,3,2.0,60.0,True,False,False,13.0,False
True,,False,4,9.0,9,5,3.0,55.6098,True,True,True,17.0,False
True,0.5,True,8,15.0,7,9,,69.7561,False,True,True,29.0,False
False,0.7,True,7,65.0,2,12,,84.3902,False,True,True,88.0,False
True,0.2,False,6,11.0,9,5,,70.7317,False,False,True,21.0,False
False,,True,6,34.0,1,4,8.0,75.122,True,True,True,44.0,False
False,,True,7,98.0,1,18,,83.9024,False,True,False,128.0,True
True,0.6,True,8,18.0,4,13,,69.2683,False,True,False,35.0,False
True,0.9,False,12,39.0,1,30,,80.9756,False,True,True,77.0,False
True,,False,6,12.0,9,6,6.0,62.9268,True,False,True,23.0,False
False,0.1,False,7,78.0,1,13,,81.9512,False,True,False,102.0,False
False,0.3,False,7,49.0,2,10,,81.9512,False,False,True,69.0,False
True,,True,7,13.0,4,8,2.0,60.4878,True,False,True,25.0,False
False,0.5,True,6,34.0,7,7,,71.7073,False,True,True,47.0,False
False,0.1,True,5,30.0,8,4,,65.3659,False,False,False,39.0,False
